FullName,DateOfBirth,Gender,Address,Phone,ParentNames,Careers,Phones,ParentGenders
Ngô Ngọc Nam,08/04/2007,True,Quảng Ngãi,999298370,['Đỗ Văn Hùng'],['Nghệ sĩ'],[949656712],[False]
Vũ Ngọc Như,22/05/2009,False,Thái Nguyên,919885337,"['Bùi Quốc Yến', 'Phạm Anh Dũng']","['Bác sĩ', 'Phát thanh viên']","[911876453, 919796269]","[False, True]"
Bùi Hữu Thảo,24/04/2009,False,Yên Bái,996878254,"['Phạm Minh Hùng', 'Hoàng Minh Hương']","['Luật sư', 'Phát thanh viên']","[968300830, 992586234]","[True, False]"
Nguyễn Anh Dũng,04/06/2010,True,Quảng Trị,957075317,['Đặng Đức Bình'],['Giáo viên'],[915671317],[False]
Đỗ Hữu Trường,03/03/2008,True,TP. Hồ Chí Minh,905219238,"['Nguyễn Gia Nam', 'Lê Văn Yến']","['Nghệ sĩ', 'Luật sư']","[905897059, 989668965]","[True, False]"
Hồ Thành Khánh,20/04/2007,True,Bắc Ninh,972304095,"['Võ Anh Tuấn', 'Hồ Minh Hạnh']","['Kỹ Sư', 'Phát thanh viên']","[973055314, 935526620]","[False, False]"
Dương Minh Ánh,19/12/2006,False,Yên Bái,984236917,['Bùi Hữu Hương'],['Phát thanh viên'],[997941109],[False]
Lý Đức Mai,25/03/2006,False,An Giang,908733783,"['Hồ Ngọc Linh', 'Hoàng Đức Dũng']","['Nhà báo', 'Luật sư']","[935496660, 966891482]","[True, False]"
Dương Thị Lan,04/04/2010,False,Phú Yên,902357969,"['Bùi Gia Bình', 'Trần Hồng Hương']","['Nông dân', 'Kỹ Sư']","[954034848, 990253207]","[False, True]"
Dương Thành Ánh,10/07/2010,False,Thái Nguyên,984042865,"['Bùi Quốc Nam', 'Bùi Văn Dũng']","['Nông dân', 'Nông dân']","[936248707, 915857963]","[False, True]"
Dương Văn Mai,16/06/2006,False,Hậu Giang,907879390,"['Nguyễn Thanh Yến', 'Võ Văn Dũng']","['Phát thanh viên', 'Luật sư']","[924796914, 955709779]","[False, False]"
Phạm Ngọc Mai,19/03/2010,False,Lai Châu,927980896,['Bùi Quốc Nam'],['Nông dân'],[936248707],[False]
Ngô Thị Bình,12/03/2011,True,TP. Hồ Chí Minh,968582078,['Lê Hồng Bình'],['Nông dân'],[994269307],[True]
Vũ Phước Long,26/11/2007,True,Bến Tre,925963042,"['Đặng Thanh Trang', 'Đỗ Đức Hiếu']","['Nhà báo', 'Bác sĩ']","[958722114, 910614341]","[True, False]"
Lý Hữu Dũng,28/08/2004,True,Thái Bình,946804061,['Võ Ngọc Bình'],['Nhà nước'],[912520642],[True]
Nguyễn Đức Hiếu,14/09/2006,True,Đắk Lắk,942396979,['Bùi Anh Hạnh'],['Phát thanh viên'],[992203053],[True]
Đỗ Thanh Lan,21/03/2010,False,Hòa Bình,968078099,"['Huỳnh Anh Trang', 'Huỳnh Thị Nam']","['Kinh Doanh', 'Nông dân']","[909251051, 916152784]","[True, False]"
Dương Hồng Như,03/02/2006,False,Cần Thơ,970178448,['Phạm Minh Trang'],['Nhà Văn'],[912965466],[True]
Ngô Văn Hiếu,11/12/2005,True,Phú Yên,916599473,['Vũ Minh Lan'],['Phát thanh viên'],[940954884],[True]
Đặng Hoàng Như,20/05/2005,False,Đồng Nai,964662039,"['Đặng Đức Phát', 'Dương Quốc Dũng']","['Kỹ Sư', 'Giáo viên']","[974561216, 966626485]","[True, False]"
Hoàng Xuân Tuấn,30/12/2006,True,Tây Ninh,967653903,['Hồ Quốc Nam'],['Kỹ Sư'],[999838576],[False]
Hoàng Thanh Hương,17/07/2008,False,Đồng Nai,943864829,"['Ngô Xuân Tuấn', 'Bùi Quốc Nam']","['Giáo viên', 'Nông dân']","[925477048, 936248707]","[True, False]"
Trần Hữu Hiếu,14/11/2004,True,Quảng Ninh,928364384,['Nguyễn Ngọc Hùng'],['Quân Nhân'],[990728335],[True]
Vũ Hồng Bình,08/01/2008,True,Gia Lai,900507757,['Võ Ngọc Bình'],['Nhà nước'],[912520642],[True]
Phạm Minh Tuấn,08/05/2010,True,Phú Yên,988236923,"['Lý Minh Linh', 'Lê Đức Dũng']","['Phát thanh viên', 'Nhà nước']","[985030863, 987417120]","[False, True]"
Dương Hồng Hiếu,21/06/2006,True,Bắc Ninh,929977978,['Phạm Gia Bình'],['Nhà nước'],[923330903],[False]
Đỗ Thanh Nam,27/08/2008,True,Điện Biên,907376780,['Hoàng Quốc Hạnh'],['Kỹ Sư'],[938383200],[True]
Võ Hoàng Hưng,21/04/2009,True,Hòa Bình,947316070,"['Dương Hồng Trang', 'Đặng Gia Long']","['Nhà báo', 'Nhà Văn']","[914295010, 926663979]","[False, False]"
Hồ Hữu Dũng,24/05/2010,True,Nam Định,941367481,"['Nguyễn Ngọc Hiếu', 'Phạm Hồng Hương']","['Nhà nước', 'Phát thanh viên']","[913888188, 920479225]","[False, False]"
Huỳnh Minh Hưng,13/03/2006,True,Hải Phòng,982384567,"['Nguyễn Xuân Hương', 'Hoàng Đức Tuấn']","['Nghệ sĩ', 'Nghệ sĩ']","[930509339, 963757730]","[True, False]"
Ngô Xuân Trang,02/04/2010,False,Bắc Kạn,979421556,"['Hoàng Minh Hương', 'Trần Xuân Linh']","['Phát thanh viên', 'Phát thanh viên']","[992586234, 916847344]","[False, False]"
Lê Đức Ngân,08/04/2007,False,Vĩnh Long,999932871,['Lý Anh Trang'],['Kinh Doanh'],[924192199],[True]
Đỗ Xuân Trường,19/10/2004,True,Thanh Hóa,933432096,"['Huỳnh Thanh Long', 'Ngô Anh Phát']","['Giáo viên', 'Nông dân']","[982404503, 992476630]","[False, True]"
Đỗ Minh Lan,10/04/2007,False,Lâm Đồng,986309671,"['Dương Hồng Trang', 'Hồ Ngọc Linh']","['Nhà báo', 'Nhà báo']","[914295010, 935496660]","[False, True]"
Ngô Hoàng Thảo,04/07/2008,False,Bến Tre,944392683,"['Bùi Thanh Bình', 'Lê Minh Hùng']","['Quân Nhân', 'Bác sĩ']","[969706676, 984141629]","[True, False]"
Lý Ngọc Nam,20/03/2007,True,Quảng Ngãi,999719669,"['Nguyễn Minh Tuấn', 'Lê Minh Hùng']","['Kỹ Sư', 'Bác sĩ']","[903828516, 984141629]","[False, False]"
Vũ Minh Ngân,06/07/2004,False,Hưng Yên,936952198,['Trần Xuân Dũng'],['Nhà báo'],[972675812],[True]
Trần Ngọc Hiếu,01/07/2008,True,Hưng Yên,929412341,"['Ngô Đức Phát', 'Bùi Văn Dũng']","['Kỹ Sư', 'Nông dân']","[911318911, 915857963]","[True, True]"
Lý Thị Phát,26/07/2004,True,Sơn La,998961606,['Trần Hồng Yến'],['Bác sĩ'],[993071426],[False]
Hoàng Anh Ánh,28/02/2008,False,Bình Thuận,954122065,['Hoàng Minh Nam'],['Luật sư'],[900690897],[False]
Đỗ Thành Trang,07/06/2004,False,Thừa Thiên Huế,922686213,['Hoàng Minh Nam'],['Luật sư'],[900690897],[False]
