FullName,Phone,Gender,DateOfBirth,Address,Major,WeeklyCapacity
Phạm Văn Dũng,0979538220,True,1986/03/09,Hà Nội,"Bơi lội, Dã ngoại",20
Phạm Xuân Tuấn,0983187556,True,1993/12/09,Hà Nội,Toán,18
Hoàng Anh Hiếu,0928542626,True,1989/02/16,Hồ Chí Minh,"Lịch sử, Toán",22
Hoàng Đức Tuấn,0987950527,False,1993/02/07,Bình Thuận,"Bóng Chuyền, Hóa học",16
Bùi Văn Lan,0952210031,True,1989/09/11,Cao Bằng,Dã ngoại,20
Đặng Thanh Lan,0942409886,False,1991/07/10,Bình Phước,"Cầu lông, Lịch sử",18
Bùi Minh Nam,0962496677,True,1993/01/17,Đà Nẵng,"Sinh học, Bơi lội",20
Ngô Đức Tuấn,0975442049,False,1981/03/12,Tiền Giang,"Tin học, Vật lý",22
Lê Anh Tuấn,0993768739,False,1994/10/03,Hải Phòng,"Cầu lông, Tin học",18
Ngô Minh Bình,0956385772,False,1994/03/30,Lâm Đồng,"Bóng Chuyền, Dã ngoại",16
Đỗ Đức Yến,0936567848,False,1982/03/23,Khánh Hòa,Hóa học,20
Đặng Minh Hùng,0999538329,False,1994/09/26,Bình Định,"Sinh học, Bơi lội",18
Đặng Xuân Phát,0944479515,True,1989/08/07,Nghệ An,"Toán, Hóa học",22
Trần Xuân Yến,0993752647,False,1989/03/26,Cần Thơ,Sinh học,20
Đỗ Anh Dũng,0962243005,False,1985/06/11,Bến Tre,"Cầu lông, Hóa học",18
Lê Thị Hùng,0993741213,True,1989/11/15,Nam Định,Lịch sử,20
Lê Ngọc Hương,0935238006,False,1992/11/14,Hà Nội,Vật lý,22
Trần Hồng Hiếu,0976093341,False,1983/04/11,Hà Nội,Hóa học,20
Lê Thanh Hương,0960348942,False,1980/02/19,Hồ Chí Minh,"Toán, Vật lý",22
Vũ Thanh Phát,0974408681,True,1984/05/27,Bình Thuận,Lịch sử,18
Hồ Ngọc Bình,0955205863,True,1982/08/20,Cao Bằng,Bóng Chuyền,16
Lê Văn Trang,0949845413,True,1982/01/27,Bình Phước,Bơi lội,20
Trần Thị Nam,0985044667,False,1995/03/24,Đà Nẵng,"Bơi lội, Bóng Chuyền",18
Trần Ngọc Dũng,0950772505,False,1981/12/13,Tiền Giang,"Bơi lội, Hóa học",20
Hoàng Thanh Lan,0999158409,True,1990/12/23,Hậu Giang,Hóa học,18
Trần Xuân Yến,0926557155,False,1985/04/18,Bình Định,Bóng Chuyền,16
Hồ Xuân Nam,0931557801,False,1994/08/29,Phú Yên,Vật lý,22
Hồ Thị Nam,0924961676,True,1987/11/05,Hà Tiên,"Toán, Vật lý",20
Hoàng Hồng Hạnh,0994057218,True,1982/06/14,Cần Thơ,"Tin học, Dã ngoại",18
Bùi Minh Phát,0947102896,False,1981/03/02,Bến Tre,Toán,22
Trần Xuân Hạnh,0937174399,False,1983/10/17,Cà Mau,"Lịch sử, Vật lý",20
Vũ Anh Trang,0978621790,True,1982/04/13,Bình Định,Vật lý,22
Ngô Ngọc Hạnh,0918138217,True,1986/11/16,Bình Định,"Sinh học, Địa lý",18
Trần Hồng Lan,0928136566,True,1987/12/09,Bình Định,Tin học,20
Lê Minh Hùng,0911480320,False,1982/01/29,Bình Định,Lịch sử,18
Bùi Quốc Yến,0957969248,True,1989/02/12,Bình Định,"Dã ngoại, Cầu lông",16
Hồ Hồng Yến,0958796180,False,1988/02/07,Bình Định,Hóa học,20
