Tuần,Ngày,Thứ,Tiết,Giáo viên,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,Dũng Phạm Văn,Địa lý,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,08:50 - 09:35,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,08:50 - 09:35,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,09:40 - 10:25,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,09:40 - 10:25,Lan Bùi Văn,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,10:30 - 11:15,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,10:30 - 11:15,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,Tuấn Lê Anh,Tin học,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,Nam Bùi Minh,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,Tuấn Lê Anh,Cầu lông,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,Bình Ngô Minh,Bóng Chuyền,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:00 - 07:45,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:00 - 07:45,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:50 - 08:35,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,07:50 - 08:35,Hiếu Hoàng Anh,Toán,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,08:50 - 09:35,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,08:50 - 09:35,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,Hương Lê Ngọc,Vật lý,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,Yến Đỗ Đức,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,Hùng Đặng Minh,Sinh học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,Lan Đặng Thanh,Lịch sử,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,Lan Đặng Thanh,Lịch sử,102A
