Tuần,Ngày,Thứ,Tiết,Lớp,Môn học,Phòng
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,,Hóa học,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,15:30 - 16:15,,Hóa học,102A
