Tuần,Ngày,Thứ,Tiết,Lớp,Môn học,Phòng
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:00 - 07:45,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:00 - 07:45,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:00 - 07:45,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:00 - 07:45,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:50 - 08:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:50 - 08:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:50 - 08:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,07:50 - 08:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,08:50 - 09:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,08:50 - 09:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,08:50 - 09:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,13/04/2025,Thứ Ba,08:50 - 09:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,,Bóng Chuyền,101B
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,,Bóng Chuyền,101B
