Tuần,Ngày,Thứ,Tiết,Lớp,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,,Địa lý,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,,Địa lý,101A
