Tuần,Ngày,Thứ,Tiết,Lớp,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,08:50 - 09:35,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,08:50 - 09:35,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,09:40 - 10:25,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,09:40 - 10:25,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,15:30 - 16:15,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,,Dã ngoại,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,16:20 - 17:05,,Dã ngoại,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,,Dã ngoại,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,,Dã ngoại,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,,Dã ngoại,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:00 - 07:45,,Dã ngoại,102A
