Tuần,Ngày,Thứ,Tiết,Lớp,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:00 - 07:45,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,07:50 - 08:35,,Sinh học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:50 - 14:35,,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,,Bơi lội,102A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,14:40 - 15:25,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,10:30 - 11:15,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,10:30 - 11:15,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,10:30 - 11:15,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,10:30 - 11:15,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:00 - 13:45,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:00 - 13:45,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:00 - 13:45,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:00 - 13:45,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:50 - 14:35,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:50 - 14:35,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:50 - 14:35,,Bơi lội,102A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,13:50 - 14:35,,Bơi lội,102A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:50 - 14:35,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,14:40 - 15:25,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,,Sinh học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,16:20 - 17:05,,Sinh học,101A
