Tuần,Ngày,Thứ,Tiết,Lớp,Môn học,Phòng
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,10:30 - 11:15,,Tin học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,10:30 - 11:15,,Tin học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,,Tin học,101A
07/04/2025 to 13/04/2025,12/04/2025,Thứ Hai,13:00 - 13:45,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,07:50 - 08:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,08:50 - 09:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,08:50 - 09:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,08:50 - 09:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,08:50 - 09:35,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,09:40 - 10:25,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,09:40 - 10:25,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,09:40 - 10:25,,Tin học,101A
07/04/2025 to 13/04/2025,15/04/2025,Thứ Năm,09:40 - 10:25,,Tin học,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,08:50 - 09:35,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,08:50 - 09:35,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,09:40 - 10:25,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,10:30 - 11:15,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,,Vật lý,101A
07/04/2025 to 13/04/2025,16/04/2025,Thứ Sáu,13:00 - 13:45,,Vật lý,101A
