Full Name,Date of Birth,Class,Gender,Address,Phone
Nguyễn Phước Thành,15/08/2006,12A1,True,Tiền Giang,0984149643
Đặng Ngọc Hưng,20/05/2006,12A1,True,Hải Phòng,0921274545
Vũ Thị Ngọc Ánh,02/10/2006,12A2,False,Hà Nội,0989548328
Trần Thu Ngân,09/03/2006,12A3,False,Đà Nẵng,0923151770
Hồ Thị Nam,10/06/2010,10A3,True,Nam Định,0987128702
Hoàng Xuân Nam,07/11/2007,11A2,False,Hà Nội,0915189623
Bùi Xuân Nam,24/08/2006,11A1,False,Bình Định,0936543674
Lê Thị Yến,09/04/2005,11A3,True,Thái Bình,0986352083
Phạm Minh Dũng,18/11/2006,12A1,False,Bình Định,0968805224
Nguyễn Ngọc Long,06/04/2008,12A3,False,Bình Định,0921525783
Phạm Đức Hiếu,14/03/2010,10A1,False,Khánh Hòa,0911952657
Trần Đức Long,30/08/2010,10A2,False,Tiền Giang,0934232516
Vũ Thanh Trang,13/09/2007,12A2,True,Bình Dương,0917823339
Trần Thanh Tuấn,31/12/2010,11A2,True,Khánh Hòa,0964708481
Hồ Đức Tuấn,19/08/2005,12A2,False,Thái Bình,0952971012
Vũ Xuân Nam,21/11/2005,11A3,True,Thái Bình,0993243489
Đỗ Thanh Linh,10/07/2007,12A2,True,Hà Nội,0961581544
Đỗ Xuân Hiếu,30/04/2009,11A2,True,Đà Nẵng,0968371850
Lê Anh Hương,09/12/2007,12A2,False,Cần Thơ,0989878357
Nguyễn Văn Trang,05/05/2008,11A2,False,Lâm Đồng,0925372492
Hoàng Quốc Trang,04/11/2010,11A2,False,Khánh Hòa,0919591518
Hồ Văn Dũng,12/02/2010,10A3,True,Lâm Đồng,0975475924
Hồ Xuân Tuấn,03/11/2008,12A2,False,Đà Nẵng,0976277727
Đỗ Minh Hùng,21/12/2010,10A3,False,Tiền Giang,0938889687
Bùi Anh Phát,17/05/2007,12A1,False,Tiền Giang,0978735866
Bùi Văn Long,13/10/2007,10A1,False,Khánh Hòa,0990799878
Trần Thanh Lan,16/06/2007,12A3,True,Bến Tre,0943564532
Ngô Thị Phát,31/05/2005,10A2,False,Bình Định,0982960224
Nguyễn Thị Dũng,25/07/2009,11A1,True,Nghệ An,0916043512
Lê Xuân Bình,13/05/2008,12A3,False,Quảng Ninh,0931913511
Hồ Thanh Hương,25/07/2007,12A2,False,Bến Tre,0993204856
Lê Thị Hương,29/06/2008,12A1,False,Huế,0947575861
Lê Thanh Yến,16/07/2010,10A2,False,Thanh Hóa,0965069616
Đỗ Anh Hùng,01/12/2008,12A2,True,Khánh Hòa,0923982782
Trần Ngọc Phát,31/05/2006,11A1,False,Đà Nẵng,0944724622
Ngô Quốc Hạnh,23/11/2005,11A1,True,Quảng Ngãi,0975176223
Vũ Thị Linh,28/05/2007,11A3,True,Cần Thơ,0929810283
Phạm Anh Hiếu,04/01/2008,11A2,True,Bình Dương,0976985026
Lê Hồng Lan,21/10/2006,11A1,True,Nam Định,0939895302
Phạm Quốc Hạnh,30/11/2008,11A2,False,Tiền Giang,0926996367
Trần Văn Bình,29/07/2007,12A1,False,Bến Tre,0921116183
Hồ Hồng Hạnh,24/08/2006,12A1,True,Khánh Hòa,0956100115
Trần Hồng Nam,03/12/2006,11A2,False,Bến Tre,0956762917
Phạm Đức Hùng,14/10/2006,11A2,False,Hà Nội,0980609844
Phạm Hồng Hương,29/04/2007,12A1,True,Đà Nẵng,0994456248
Bùi Thị Nam,03/03/2006,12A3,True,Tiền Giang,0923444238
Nguyễn Xuân Tuấn,30/09/2005,11A3,False,Vĩnh Phúc,0991854987
Lê Xuân Hạnh,13/08/2008,10A1,False,Bắc Ninh,0959801685
Ngô Thị Hạnh,29/12/2005,10A3,False,Bắc Ninh,0952841102
