FullName,DateOfBirth,Gender,Address,Phone
Võ Ngọc Hiếu,26/01/2009,True,Quảng Nam,0904186931
Lê Hữu Yến,13/04/2004,False,Hải Dương,0967273692
Đỗ Thành Lan,09/03/2009,False,Khánh Hòa,0974911874
Hồ Đức Thảo,10/12/2004,False,Nghệ An,0944235881
Nguyễn Xuân Hiếu,11/05/2006,True,Vĩnh Phúc,0995325244
Bùi Thành Hiếu,09/08/2009,True,Cao Bằng,0920982259
Nguyễn Ngọc Hiếu,21/11/2005,True,Cà Mau,0996785819
Hoàng Xuân Lan,31/08/2005,False,Bắc Ninh,0980466546
Đặng Đức Tuấn,21/01/2008,True,Quảng Nam,0970898410
Đỗ Văn Long,30/04/2009,True,Ninh Thuận,0997348448
Phạm Ngọc Nam,14/01/2008,True,Đồng Tháp,0989660477
Huỳnh Đức Như,29/10/2004,False,Hà Giang,0943190206
Vũ Hoàng Dũng,07/12/2005,True,Bến Tre,0971444254
Hồ Thanh Yến,07/02/2011,False,Bắc Giang,0993743556
Hồ Ngọc Lan,01/03/2011,False,Bến Tre,0991665194
Đặng Anh Linh,10/03/2008,False,Đồng Nai,0965858900
Trần Đức Mai,05/08/2007,False,Phú Thọ,0926618580
Ngô Văn Phát,09/01/2011,True,Hà Tĩnh,0951773337
Võ Thanh Trường,04/10/2005,True,Cà Mau,0920535829
Phạm Hữu Khánh,03/05/2004,True,Nghệ An,0956078797
Bùi Quốc Thảo,23/06/2010,False,Lạng Sơn,0949952338
Đặng Minh Khánh,23/12/2008,True,Nam Định,0927700334
Dương Thành Trường,22/01/2007,True,An Giang,0910417513
Đặng Văn Trường,18/06/2004,True,Thái Bình,0960571764
Nguyễn Anh Trường,18/04/2004,True,Hải Phòng,0952171027
Dương Quốc Tuấn,15/01/2008,True,Lai Châu,0976404775
Lê Hoàng Trang,01/05/2004,False,Bình Thuận,0974903669
Hoàng Quốc Ánh,21/06/2006,False,Quảng Bình,0991348293
Lê Xuân Hưng,27/02/2010,True,Hòa Bình,0981745390
Dương Đức Bình,22/09/2008,True,Phú Thọ,0944120868
Đỗ Thanh Long,03/03/2007,True,Vĩnh Phúc,0970908297
Trần Minh Khánh,14/10/2009,True,Lai Châu,0986309868
Hồ Phước Hiếu,23/02/2005,True,Khánh Hòa,0986660380
Vũ Minh Hưng,30/10/2009,True,Đắk Nông,0978039723
Đặng Văn Trang,08/06/2004,False,Vĩnh Long,0958380743
Huỳnh Hồng Linh,30/09/2005,False,Tây Ninh,0926211658
Bùi Văn Yến,10/08/2005,False,Tuyên Quang,0993301051
Hoàng Ngọc Long,04/01/2007,True,Hà Nội,0929479252
Ngô Đức Tuấn,02/08/2007,True,Quảng Nam,0985915372
Phạm Thị Trường,16/02/2011,True,Thái Bình,0994467682
Lê Anh Thảo,13/07/2006,False,Bình Định,0994210778
Huỳnh Phước Phát,21/08/2007,True,Hải Dương,0975197928
Phạm Xuân Yến,11/07/2009,False,Sóc Trăng,0998089621
Dương Hồng Hương,26/06/2006,False,Cà Mau,0931860467
Đặng Xuân Tuấn,30/04/2004,True,Hà Tĩnh,0916562722
Hoàng Ngọc Ánh,14/01/2006,False,Hải Dương,0976957993
Nguyễn Phước Hưng,04/08/2008,True,Khánh Hòa,0928963793
Đỗ Minh Như,16/09/2009,False,TP. Hồ Chí Minh,0951910519
Trần Ngọc Khánh,09/06/2008,True,Vĩnh Long,0941063121
Nguyễn Minh Mai,26/11/2007,False,Phú Yên,0998302873
Phạm Thị Khánh,13/07/2010,True,Trà Vinh,0919945219
Đặng Thành Ánh,14/10/2005,False,Tiền Giang,0907011821
Dương Anh Tuấn,29/04/2008,True,Lâm Đồng,0991860092
Ngô Quốc Hưng,02/01/2011,True,Bình Phước,0994979312
Dương Quốc Như,16/02/2009,False,Tiền Giang,0976989055
Lê Đức Lan,26/12/2009,False,Hưng Yên,0973126570
Vũ Minh Ánh,27/07/2006,False,Tây Ninh,0945813930
Dương Hồng Nam,28/02/2008,True,Bắc Kạn,0932052715
Lê Ngọc Trang,04/01/2007,False,Hà Tĩnh,0987856446
Hồ Hoàng Hương,26/05/2009,False,An Giang,0948402326
